ZIP_CODE,LOCATION,OWNER1,OWNER2,BLDG_CODE,TOTAL_AREA,LIVABLE_AREA,RECORDING_DATE,brief_desc,STD_OWNER,ABBR,MARKET_VALUE,MARKET_VALUE_DATE,LAST_SALE_PRICE,LAST_SALE_DATE,TAXABLE_LAND_VALUE,TAXABLE_BLDG_VALUE,EXEMPT_LAND_VALUE,EXEMPT_BLDG_VALUE
191215203,2523 W GLENWOOD AVE,CITY OF PHILA,,PB0,61418,15840,9/12/1951,City of Phila.,CITY OF PHILADELPHIA,PUBPROP,"1,280,000.00",1/1/2002,1.00,9/12/1951,0.00,0.00,"29,899.00","379,701.00"
191215013,1704 INGERSOLL ST,CITY OF PHILA,DEPT OF PUBLIC PROP,SR,689,0,10/4/1975,City of Phila.,DEPARTMENT OF PUBLIC PROPERTY,PUBPROP,"3,500.00",9/1/2008,1.00,10/4/1975,0.00,0.00,"1,120.00",0.00
191251328,2539 EMERALD ST,CITY OF PHILA,,SR,883,0,5/20/1978,City of Phila.,CITY OF PHILADELPHIA,PUBPROP,"1,000.00",1/1/2002,1.00,5/20/1978,0.00,0.00,320.00,0.00
191251632,2052 E HAGERT ST,REDEVELOPMENT AUTHORITY,OF PHILADELPHIA,SR,1080,0,10/19/1999,Redevelopment Auth. of Phila,REDEVELOPMENT AUTHORITY OF PHILADELPHIA,RDA,"2,500.00",7/1/2006,1.00,10/19/1999,0.00,0.00,800.00,0.00
191231306,985 N MARSHALL ST,REDEVELOPMENT AUTHORITY,OF PHILADELPHIA,SR,1193,0,8/27/1979,Redevelopment Auth. of Phila,REDEVELOPMENT AUTHORITY OF PHILADELPHIA,RDA,"13,100.00",9/1/2008,1.00,8/27/1979,0.00,0.00,"4,192.00",0.00
191251528,2334-36 EMERALD ST,CITY OF PHILA,DEPT PUB PROP,RA,1694,0,10/4/1988,City of Phila.,DEPARTMENT OF PUBLIC PROPERTY,PUBPROP,"6,000.00",3/1/2006,800.00,8/29/1988,0.00,0.00,"1,920.00",0.00
19124,5300 BUSTLETON AVE,CITY OF PHILA,DEPT OF PUBLIC PROP,RA,233804,0,7/26/1920,City of Phila.,DEPARTMENT OF PUBLIC PROPERTY,PUBPROP,"500,000.00",11/1/2001,1.00,7/26/1920,0.00,0.00,"160,000.00",0.00
19115,9800 E ROOSEVELT BLV,CITY OF PHILA,,JV,757944,0,11/26/1952,City of Phila.,CITY OF PHILADELPHIA,PUBPROP,"850,000.00",3/1/2001,1.00,11/26/1952,0.00,0.00,"272,000.00",0.00
191483222,626 CANTRELL ST,PHILADELPHIA HOUSING,DEVELOPMENT CORPORATION,SR,672,0,4/29/1982,(PHDC) Phila. Housing Dev. Corp.,PHILADELPHIA HOUSING DEVELOPMENT CORPORATION,PHDC,"4,000.00",9/1/2008,"3,000.00",4/22/1982,0.00,0.00,"1,280.00",0.00
191391400,5226-32 HAVERFORD AVE,REDEVELOPMENT AUTHORITY,OF PHILADELPHIA,SC,8000,0,12/2/1968,Redevelopment Auth. of Phila,REDEVELOPMENT AUTHORITY OF PHILADELPHIA,RDA,"20,000.00",1/1/2002,1.00,12/2/1968,0.00,0.00,"6,400.00",0.00
191324602,2224 N 26TH ST,REDEVELOPMENT AUTHORITY,OF PHILADELPHIA,SR,1204,0,9/30/1970,Redevelopment Auth. of Phila,REDEVELOPMENT AUTHORITY OF PHILADELPHIA,RDA,500.00,3/1/2001,1.00,9/30/1970,0.00,0.00,160.00,0.00
191435914,2146 S CECIL ST,REDEVELOPMENT AUTHORITY O,,SR,750,0,10/12/2005,Redevelopment Auth. of Phila,REDEVELOPMENT AUTHORITY OF PHILADELPHIA,RDA,"1,000.00",7/1/2007,4.00,10/12/2005,0.00,0.00,320.00,0.00
191212106,1819 N 21ST ST,REDEVELOPMENT AUTHORITY,OF PHILADELPHIA,SR,864,0,7/20/1970,Redevelopment Auth. of Phila,REDEVELOPMENT AUTHORITY OF PHILADELPHIA,RDA,500.00,3/1/2001,1.00,7/20/1970,0.00,0.00,160.00,0.00
191324613,2203 N 27TH ST,REDEVELOPMENT AUTHORITY,OF PHILADELPHIA,SR,1283,0,9/30/1970,Redevelopment Auth. of Phila,REDEVELOPMENT AUTHORITY OF PHILADELPHIA,RDA,500.00,3/1/2001,1.00,9/30/1970,0.00,0.00,160.00,0.00
191463607,1247-49 S 30TH ST,CITY OF PHILA,DEPT PUB PROP,SR,16945,0,2/27/1981,City of Phila.,DEPARTMENT OF PUBLIC PROPERTY,PUBPROP,"4,000.00",3/1/2001,"61,010.00",2/27/1981,0.00,0.00,"1,280.00",0.00
191223118,1739R N HANCOCK ST,PHILADELPHIA HOUSING,DEVELOPMENT CORPORATION,RA,11598,0,1/9/1992,(PHDC) Phila. Housing Dev. Corp.,PHILADELPHIA HOUSING DEVELOPMENT CORPORATION,PHDC,"11,600.00",1/1/2002,1.00,1/9/1992,0.00,0.00,"3,712.00",0.00
191462910,1148 S CLEVELAND ST,CITY OF PHILADELPHIA,,SR,700,0,9/13/2005,City of Phila.,CITY OF PHILADELPHIA,PUBPROP,"6,500.00",10/1/2008,800.00,7/20/2005,0.00,0.00,"2,080.00",0.00
191232514,655 N 11TH ST,REDEVELOPMENT AUTHORITY,OF PHILADELPHIA,SR,2160,0,5/26/1970,Redevelopment Auth. of Phila,REDEVELOPMENT AUTHORITY OF PHILADELPHIA,RDA,"51,800.00",9/1/2008,1.00,5/26/1970,0.00,0.00,"16,576.00",0.00
191331735,1014 W SOMERSET ST,CITY OF PHILA,,SR,812,0,1/27/1984,City of Phila.,CITY OF PHILADELPHIA,PUBPROP,500.00,10/1/2003,800.00,1/27/1984,0.00,0.00,160.00,0.00
191223507,1542 N DARIEN ST,REDEVELOPMENT AUTHORITY,OF PHILADELPHIA,SR,482,0,7/31/1996,Redevelopment Auth. of Phila,REDEVELOPMENT AUTHORITY OF PHILADELPHIA,RDA,"3,200.00",8/1/2001,1.00,7/31/1996,0.00,0.00,"1,024.00",0.00
191344117,2116 E ORLEANS ST,PHILADELPHIA HOUSING,DEVELOPMENT CORPORATION,SR,726,0,10/10/1995,,PHILADELPHIA HOUSING DEVELOPMENT CORPORATION,PHDC,"2,200.00",7/1/2007,1.00,8/29/1995,704.00,704.00,0.00,0.00
191213806,2312 SHARSWOOD ST,CITY OF PHILA,DEPT OF PUBLC PROP,SR,700,0,2/28/1986,City of Phila.,DEPARTMENT OF PUBLIC PROPERTY,PUBPROP,"5,600.00",9/1/2008,500.00,2/10/1986,0.00,0.00,"1,792.00",0.00
191314410,5116 MERION AVE,REDEVELOPMENT AUTHORITY O,,O30,1237,1140,5/6/2004,Redevelopment Auth. of Phila,REDEVELOPMENT AUTHORITY OF PHILADELPHIA,RDA,"5,600.00",6/1/2003,4.00,5/6/2004,0.00,0.00,448.00,"1,344.00"
